Description,Price,Rating,ReviewCount,Url
"Tabelito® Volt Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Black-(6 Month Warranty)",₹599,4.9 out of 5 stars,38,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzE0OTc5OTA2NzUyMTQ2OjE2NzUzMjQzOTU6c3BfYXRmOjIwMTE1Mzg4MzYzNzk4OjowOjo&url=%2FTabelito%25C2%25AE-Waterproof-Backpack-Business-Compatible%2Fdp%2FB0BML78XD8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324395%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",₹998,3.9 out of 5 stars,684,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzE0OTc5OTA2NzUyMTQ2OjE2NzUzMjQzOTU6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324395%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299",4.1 out of 5 stars,"51,353",https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-3
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,"9,221",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-4
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,364",https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-5
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,461,https://www.amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-6
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,709,https://www.amazon.com/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_7?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-7
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889,4.3 out of 5 stars,"5,313",https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-8
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,180",https://www.amazon.com/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_9?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-9
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹798,4.1 out of 5 stars,911,https://www.amazon.com/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_10?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-10
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),₹599,3.7 out of 5 stars,33,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzE0OTc5OTA2NzUyMTQ2OjE2NzUzMjQzOTU6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324395%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack , Water Resistant and Light Weight, 1 year Warranty",₹549,3.9 out of 5 stars,"8,340",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzE0OTc5OTA2NzUyMTQ2OjE2NzUzMjQzOTU6c3BfbXRmOjIwMDc3MjE1ODgwNDk4OjowOjo&url=%2FPOLESTAR-Vintage-Laptop-Backpack-bagpack%2Fdp%2FB081GSQ9D9%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324395%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹356,4.1 out of 5 stars,"7,623",https://www.amazon.com/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_13?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-13
DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"4,395",https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_14?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-14
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8 out of 5 stars,628,https://www.amazon.com/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_15?crid=2M096C61O4MLT&keywords=Bags&qid=1675324395&sprefix=ba%2Caps%2C283&sr=8-15
